ticket_id,customer_id,order_id,ticket_date,issue_type,priority,resolution_time,resolved_flag
T000107,C05109,O047186,2025-12-26 18:19:46,Return,Low,5.2,1
T000108,C05713,O022784,2025-08-26 14:56:03,Delivery,Medium,18.4,1
T000109,C05756,O020778,2025-06-16 07:20:26,Delivery,Low,2.5,1
T000110,C06742,O014159,2025-01-12 05:44:32,Cancellation,Medium,9.5,1
T000111,C01796,O050766,2025-07-12 05:28:07,Delivery,Medium,38.5,1
T000112,C04302,O003446,2025-07-31 05:39:14,Other,Medium,8.7,1
T000113,C07493,O042916,2025-10-27 06:13:49,Return,Low,9.9,1
T000114,C01817,O008509,2025-02-09 07:44:11,Return,Low,31.2,1
T000115,C02362,O037598,2025-10-08 15:52:51,Delivery,Low,5.6,1
T000116,C00135,O043141,2025-11-13 19:45:41,Product Quality,Medium,7.3,1
T000117,C00921,O031906,2025-12-18 09:15:09,Return,Low,13.6,1
T000118,C08301,O003125,2025-09-20 11:35:20,Delivery,Medium,21.5,1
T000119,C00307,O004787,2025-08-16 07:01:57,Other,Low,12.7,1
T000120,C04381,O022365,2025-11-13 09:05:08,Other,Medium,21.4,1
T000121,C08466,O028458,2025-12-21 22:02:56,Return,Medium,6.7,1
T000122,C00003,O003755,2025-02-14 07:05:18,Product Quality,High,11.4,1
T000123,C02030,O009958,2025-05-02 06:44:52,Delivery,High,0.7,1
T000124,C07369,O038748,2025-02-20 14:13:30,Cancellation,Low,22.7,0
T000125,C08466,O052574,2025-10-05 03:21:22,Delivery,High,4.7,1
T000126,C07284,O051238,2025-11-03 05:44:10,Other,Low,9.1,1
T000127,C09776,O016379,2025-09-16 05:08:35,Return,Medium,16.7,1
T000128,C08867,O024045,2025-02-01 23:23:48,Cancellation,Low,19.4,1
T000129,C05356,O041352,2025-12-20 01:08:55,Delivery,High,6.8,1
T000130,C07111,O039864,2025-09-30 03:17:05,Product Quality,Medium,5.2,1
T000131,C04810,O000487,2025-10-19 20:33:05,Payment,High,33.1,0
T000132,C08846,O032137,2025-10-25 02:10:22,Payment,Low,28.4,1
T000133,C05744,O000110,2025-02-05 10:17:25,Delivery,Medium,11.2,1
T000134,C01831,O011822,2025-05-16 19:27:04,Delivery,Low,19.7,1
T000135,C07229,O048251,2025-10-17 13:29:54,Cancellation,Low,6.3,1
T000136,C06719,O033832,2025-08-22 12:43:48,Delivery,High,12.9,1
T000137,C04842,O004855,2025-10-04 15:29:33,Other,Low,14.3,1
T000138,C04282,O053202,2025-10-07 00:18:33,Payment,Medium,15.4,1
T000139,C07958,O004366,2025-08-19 14:04:12,Delivery,Low,13.8,1
T000140,C08805,O053201,2025-03-29 19:39:21,Product Quality,Medium,25.7,1
T000141,C07017,O051127,2025-03-25 10:38:06,Payment,Medium,14.0,1
T000142,C03530,O037007,2025-11-09 05:10:06,Product Quality,Low,25.4,0
T000143,C06527,O000754,2025-01-27 20:56:53,Delivery,High,63.3,1
T000144,C07386,O005875,2025-12-17 09:45:36,Product Quality,Medium,33.8,1
T000145,C02108,O022887,2025-12-18 03:56:26,Delivery,Medium,9.4,1
T000146,C07325,O014671,2025-04-28 04:50:21,Return,Medium,23.9,1
T000147,C03775,O018660,2025-06-21 02:59:02,Return,Low,24.4,1
T000148,C00588,O018375,2025-07-25 18:02:01,Return,Low,10.1,1
T000149,C09396,O028556,2025-07-29 16:49:17,Product Quality,Low,5.9,1
T000150,C01488,O033237,2025-08-16 16:04:11,Return,Medium,9.8,1
T000151,C04289,O040911,2025-03-18 17:36:03,Cancellation,Medium,10.9,1
T000152,C06619,O046349,2025-04-25 08:49:26,Product Quality,High,11.4,1
T000153,C09115,O038203,2025-12-24 15:11:08,Product Quality,Low,17.8,1
T000154,C03233,O010191,2025-11-19 13:21:14,Delivery,Medium,21.3,1
T000155,C03308,O017098,2025-12-06 01:42:14,Product Quality,Medium,32.9,1
T000156,C02043,O040034,2025-03-16 06:10:59,Other,Medium,6.2,1
T000157,C01043,O031804,2025-07-24 13:44:05,Return,Low,7.4,1
T000158,C08355,O003102,2025-11-11 09:19:35,Product Quality,Low,24.0,1
T000159,C08732,O008192,2025-11-16 18:08:00,Delivery,Low,19.3,1
T000160,C07071,O002973,2025-10-31 17:34:39,Cancellation,Low,14.5,1
T000161,C08154,O003442,2025-02-04 02:11:14,Other,Medium,44.3,1
T000162,C07959,O001102,2025-08-24 23:16:31,Return,Low,7.0,1
T000163,C03707,O022184,2025-08-28 09:17:37,Delivery,Medium,6.5,1
T000164,C09664,O031985,2025-11-10 12:06:27,Delivery,Medium,19.5,1
T000165,C04935,O034420,2025-04-15 16:48:44,Product Quality,Low,21.8,1
T000166,C06406,O029849,2025-10-03 13:52:35,Delivery,Medium,6.2,1
T000167,C05264,O035590,2025-04-15 08:01:20,Delivery,High,10.2,1
T000168,C04616,O023813,2025-08-07 00:38:22,Delivery,Medium,4.6,1
T000169,C04116,O023840,2025-06-07 22:09:40,Delivery,Medium,18.7,1
T000170,C03486,O048785,2025-04-18 19:19:57,Delivery,Medium,4.6,1
T000171,C02266,O045328,2025-03-10 16:57:16,Other,Medium,17.4,0
T000172,C00553,O028044,2025-09-27 04:22:11,Other,Low,13.9,1
T000173,C03473,O031949,2025-01-02 18:11:08,Return,Low,25.6,1
T000174,C08022,O046732,2025-11-14 14:15:36,Delivery,Low,7.1,1
T000175,C07748,O016469,2025-10-16 14:01:33,Payment,High,29.8,1
T000176,C08911,O036712,2025-07-29 02:30:45,Delivery,Medium,2.4,1
T000177,C09290,O047054,2025-04-09 22:35:37,Delivery,Low,9.5,1
T000178,C06340,O028291,2025-12-06 06:06:36,Payment,Low,36.4,1
T000179,C02689,O023406,2025-12-30 01:37:58,Other,Medium,14.7,1
T000180,C05880,O003830,2025-12-22 23:25:26,Cancellation,Medium,25.2,1
T000181,C02510,O045317,2025-02-10 10:27:51,Product Quality,High,8.4,1
T000182,C05495,O000157,2025-02-07 12:30:01,Payment,Low,9.1,1
T000183,C08410,O022886,2025-01-06 22:18:58,Delivery,Medium,18.2,1
T000184,C06660,O020538,2025-12-28 23:39:09,Product Quality,Medium,2.4,1
T000185,C07780,O030299,2025-07-18 11:33:49,Return,Medium,29.0,1
T000186,C02218,O016116,2025-12-29 07:33:16,Delivery,Medium,14.8,1
T000187,C02686,O008338,2025-08-29 02:29:01,Product Quality,Low,7.0,1
T000188,C03189,O011894,2025-02-20 23:45:06,Return,Medium,28.2,1
T000189,C03894,O005628,2025-07-07 13:53:09,Cancellation,Medium,5.7,1
T000190,C09177,O048605,2025-03-15 14:56:14,Product Quality,Medium,26.9,1
T000191,C08058,O036081,2025-10-03 11:48:31,Product Quality,Medium,39.2,1
T000192,C08244,O000589,2025-09-28 06:49:10,Payment,Low,6.0,1
T000193,C08394,O037581,2025-08-28 02:25:42,Return,Medium,15.2,1
T000194,C05055,O047337,2025-12-16 05:40:20,Other,Medium,26.0,1
T000195,C02096,O050334,2025-04-29 08:45:37,Payment,Low,25.9,1
T000196,C07682,O038046,2025-01-17 16:22:26,Delivery,Low,16.8,1
T000197,C08832,O038522,2025-08-26 15:19:33,Delivery,High,18.4,1
T000198,C08033,O002381,2025-06-07 14:37:17,Delivery,Medium,24.5,1
T000199,C03773,O003904,2025-11-22 09:57:50,Payment,Medium,8.2,1
T000200,C06733,O040129,2025-01-25 16:38:50,Delivery,High,11.2,1
T000201,C03972,O022182,2025-04-21 13:17:29,Product Quality,Low,22.0,1
T000202,C06647,O053419,2025-04-13 08:35:49,Delivery,Low,9.6,0
T000203,C00972,O036691,2025-07-04 08:23:44,Cancellation,Medium,3.5,1
T000204,C00385,O048914,2025-06-16 14:55:48,Delivery,Low,9.2,1
T000205,C00332,O029816,2025-02-27 14:10:33,Other,Low,4.9,1
T000206,C01393,O024187,2025-04-05 21:23:24,Delivery,Medium,27.4,1
T000207,C05508,O014621,2025-09-15 00:39:54,Payment,Medium,14.0,0
T000208,C05796,O025890,2025-07-19 12:16:26,Delivery,Medium,10.3,1
T000209,C00568,O001662,2025-01-16 01:31:51,Payment,Low,20.5,1
T000210,C07118,O022369,2025-09-26 10:34:03,Delivery,Low,11.0,1
T000211,C01745,O021582,2025-06-04 16:39:11,Return,Medium,10.6,1
T000212,C07919,O039183,2025-05-26 10:38:45,Payment,High,3.0,1
T000213,C02846,O027523,2025-08-18 05:25:35,Delivery,Low,1.0,1
T000214,C05252,O052399,2025-11-25 10:39:15,Payment,Medium,10.0,1
T000215,C06330,O052038,2025-02-15 17:26:37,Cancellation,High,13.6,1
T000216,C08350,O039726,2025-05-19 09:13:09,Delivery,Medium,11.4,1
T000217,C05420,O012406,2025-02-06 09:32:25,Delivery,High,33.3,1
T000218,C04921,O038191,2025-11-17 16:16:52,Payment,Low,19.2,1
T000219,C07209,O037487,2025-03-20 11:18:52,Delivery,Medium,29.1,1
T000220,C08626,O013116,2025-12-27 13:20:52,Delivery,Medium,9.2,1
T000221,C06257,O012367,2025-01-21 08:47:01,Product Quality,Medium,21.1,1
T000222,C05285,O031415,2025-09-24 04:28:35,Delivery,Low,12.4,1
T000223,C09779,O054491,2025-05-31 19:48:46,Delivery,Low,18.7,1
T000224,C02389,O053918,2025-09-12 09:53:22,Return,Low,13.9,1
T000225,C06641,O039268,2025-05-08 05:23:34,Product Quality,Medium,4.7,1
T000226,C08085,O005431,2025-11-20 18:43:48,Payment,Medium,16.1,1
T000227,C03363,O002215,2025-08-13 12:19:28,Other,Medium,7.0,1
T000228,C01790,O042818,2025-01-24 06:27:48,Delivery,Low,42.6,0
T000229,C03709,O030751,2025-12-27 22:13:22,Product Quality,Medium,1.8,1
T000230,C01126,O043176,2025-01-07 20:13:45,Payment,Low,3.8,1
T000231,C09085,O021703,2025-04-30 00:53:33,Delivery,High,24.7,1
T000232,C03278,O018452,2025-08-12 12:18:18,Product Quality,Low,33.2,1
T000233,C03788,O000421,2025-07-22 11:45:00,Other,Medium,37.6,1
T000234,C00504,O000795,2025-04-05 09:33:50,Delivery,High,10.3,1
T000235,C05284,O039461,2025-05-25 04:46:00,Return,Medium,7.6,0
T000236,C06557,O053276,2025-06-22 19:03:06,Delivery,High,20.2,1
T000237,C02138,O014142,2025-03-12 12:15:28,Delivery,Medium,9.0,1
T000238,C03250,O005495,2025-05-18 10:17:54,Payment,Low,15.4,1
T000239,C07538,O019967,2025-12-22 10:11:31,Payment,Medium,8.5,1
T000240,C05843,O009676,2025-09-14 06:32:23,Payment,High,5.7,1
T000241,C03893,O025213,2025-08-21 03:29:48,Return,Low,14.4,1
T000242,C07940,O039452,2025-12-29 10:36:55,Delivery,Medium,34.5,0
T000243,C06245,O046948,2025-06-18 10:27:35,Return,Low,20.7,1
T000244,C00431,O050868,2025-11-04 01:04:01,Return,Low,4.5,1
T000245,C04239,O043602,2025-12-17 14:31:25,Return,Low,6.2,1
T000246,C01132,O026391,2025-07-10 12:09:39,Payment,Medium,13.4,1
T000247,C08152,O004568,2025-12-01 21:04:05,Cancellation,Low,1.1,1
T000248,C07883,O002151,2025-09-28 02:21:45,Return,Medium,6.9,1
T000249,C01080,O036879,2025-08-15 06:03:06,Cancellation,Medium,13.8,1
T000250,C07197,O047908,2025-09-30 20:54:50,Cancellation,Low,22.6,1
T000251,C05601,O052147,2025-04-05 19:53:02,Other,High,29.7,1
T000252,C01884,O011741,2025-04-26 05:58:12,Payment,High,16.5,1
T000253,C03769,O030298,2025-05-13 04:59:30,Payment,Low,15.4,0
T000254,C03053,O016023,2025-06-01 23:10:24,Delivery,High,6.8,1
T000255,C05195,O021714,2025-03-31 12:29:06,Cancellation,Medium,7.1,1
T000256,C02751,O008019,2025-11-16 12:43:57,Product Quality,Medium,3.4,1
T000257,C06004,O003317,2025-01-06 10:49:10,Delivery,Medium,11.0,1
T000258,C06449,O034602,2025-07-09 16:41:21,Payment,Medium,3.0,1
T000259,C02207,O054679,2025-08-22 22:45:12,Delivery,Low,22.0,1
T000260,C05320,O024701,2025-12-28 14:31:12,Cancellation,Medium,33.0,1
T000261,C06423,O043944,2025-02-27 23:18:17,Delivery,High,15.0,1
T000262,C08256,O040024,2025-09-01 07:57:45,Delivery,Medium,12.9,1
T000263,C05215,O035634,2025-04-26 10:52:39,Product Quality,Low,19.9,1
T000264,C03335,O044124,2025-01-14 16:32:26,Payment,Low,11.4,1
T000265,C09283,O050824,2025-10-23 06:50:59,Delivery,Low,13.8,1
T000266,C05975,O032382,2025-12-07 08:54:47,Delivery,Low,11.7,1
T000267,C05355,O032998,2025-10-20 17:15:20,Delivery,Low,9.5,1
T000268,C00962,O027241,2025-05-25 04:55:50,Product Quality,Medium,6.6,1
T000269,C05250,O052105,2025-02-22 13:45:41,Cancellation,Medium,44.5,1
T000270,C09830,O008954,2025-04-20 18:02:08,Payment,Medium,11.2,1
T000271,C02669,O052034,2025-03-20 06:15:41,Other,High,7.3,1
T000272,C02605,O013748,2025-07-16 05:38:51,Delivery,Medium,14.8,1
T000273,C02153,O039791,2025-04-04 15:01:13,Cancellation,Medium,41.4,1
T000274,C05513,O005378,2025-04-02 16:48:39,Delivery,Low,10.0,1
T000275,C09035,O004688,2025-06-16 01:51:08,Delivery,Low,13.9,1
T000276,C02811,O018084,2025-06-22 01:58:30,Return,Medium,24.7,1
T000277,C05027,O038074,2025-10-20 08:40:20,Payment,High,7.0,1
T000278,C01490,O004978,2025-04-29 21:19:12,Other,Low,2.3,1
T000279,C00196,O028329,2025-01-08 21:18:39,Delivery,Medium,23.1,1
T000280,C06949,O004085,2025-10-19 20:51:56,Product Quality,Medium,27.3,1
T000281,C07758,O054174,2025-03-04 04:33:40,Delivery,Low,23.8,1
T000282,C00796,O037297,2025-05-26 19:16:04,Cancellation,Low,22.3,1
T000283,C08221,O022053,2025-05-30 03:10:14,Cancellation,Medium,1.7,1
T000284,C08958,O053693,2025-11-27 14:46:50,Product Quality,Medium,5.4,1
T000285,C00106,O028779,2025-07-23 03:34:11,Cancellation,High,14.6,0
T000286,C09247,O038295,2025-07-29 19:42:53,Delivery,Medium,35.0,0
T000287,C03251,O051570,2025-09-18 15:45:49,Payment,Medium,23.9,1
T000288,C05570,O032619,2025-10-05 10:45:58,Cancellation,High,21.2,1
T000289,C06547,O024144,2025-11-12 11:56:29,Product Quality,High,4.5,1
T000290,C04036,O024536,2025-03-23 08:07:08,Product Quality,Low,18.7,1
T000291,C07130,O015830,2025-06-18 22:56:47,Other,Medium,15.3,1
T000292,C05194,O024737,2025-08-16 22:41:22,Product Quality,Low,15.4,1
T000293,C04705,O021266,2025-07-15 10:42:10,Product Quality,High,26.8,1
T000294,C07373,O013357,2025-11-21 01:38:37,Other,Medium,15.0,1
T000295,C02629,O020231,2025-04-25 05:32:25,Delivery,Low,16.4,1
T000296,C02495,O031616,2025-12-29 12:22:30,Product Quality,High,23.1,1
T000297,C03437,O019491,2025-09-03 05:40:11,Delivery,Low,17.3,1
T000298,C08041,O040569,2025-02-02 11:28:11,Cancellation,Low,32.5,1
T000299,C08357,O015436,2025-04-29 08:10:56,Product Quality,Medium,9.5,1
T000300,C04237,O030691,2025-02-12 21:48:41,Delivery,Low,13.8,1
T000301,C00319,O004029,2025-05-19 00:29:35,Delivery,Low,15.6,1
T000302,C01613,O020248,2025-04-11 18:31:22,Delivery,High,33.9,1
T000303,C06685,O011967,2025-03-19 04:40:45,Return,Medium,20.9,1
T000304,C05083,O022306,2025-04-19 10:02:47,Delivery,Medium,3.5,1
T000305,C02214,O012385,2025-10-25 17:40:43,Product Quality,Low,15.0,1
T000306,C09337,O046505,2025-08-08 00:53:57,Other,Low,3.3,1
T000307,C09755,O049207,2025-04-27 14:36:33,Other,High,27.8,1
T000308,C02802,O003424,2025-07-12 23:02:58,Other,Medium,17.9,1
T000309,C06713,O047776,2025-03-23 20:59:31,Payment,Low,12.7,1
T000310,C09356,O045241,2025-01-13 10:47:39,Delivery,Medium,22.2,1
T000311,C06251,O020599,2025-03-18 23:34:37,Payment,Low,19.8,1
T000312,C00981,O052829,2025-03-15 21:41:52,Return,Low,15.1,1
T000313,C00138,O006301,2025-01-06 14:32:19,Cancellation,Medium,17.3,1
T000314,C06123,O027394,2025-10-11 04:38:08,Cancellation,High,40.6,1
T000315,C01098,O016853,2025-05-07 09:12:02,Delivery,Medium,10.9,1
T000316,C08539,O000580,2025-12-28 08:17:24,Delivery,Medium,13.7,1
T000317,C00205,O002466,2025-04-16 18:30:48,Return,High,5.4,1
T000318,C00717,O018968,2025-01-27 06:04:38,Product Quality,Low,7.6,1
T000319,C04761,O011708,2025-03-28 01:32:42,Other,Low,26.2,1
T000320,C03689,O037359,2025-03-03 04:00:54,Delivery,Medium,17.1,1
T000321,C03761,O018536,2025-08-27 11:43:17,Return,Low,24.6,1
T000322,C00872,O004615,2025-09-26 15:42:34,Return,Low,16.7,1
T000323,C09092,O048955,2025-07-17 23:09:20,Cancellation,Low,34.0,1
T000324,C05529,O015411,2025-04-10 04:47:48,Delivery,Medium,18.3,1
T000325,C04257,O054987,2025-07-20 14:56:00,Delivery,Medium,1.9,0
T000326,C01149,O019158,2025-06-30 17:21:26,Product Quality,High,7.5,1
T000327,C02743,O007356,2025-12-13 10:59:02,Cancellation,Low,9.8,1
T000328,C04003,O003893,2025-08-19 06:13:22,Delivery,Medium,15.6,1
T000329,C07803,O017399,2025-01-29 04:21:07,Other,High,16.0,1
T000330,C03151,O038226,2025-01-17 07:48:16,Payment,Low,11.9,1
T000331,C06674,O045939,2025-12-03 18:32:20,Product Quality,Medium,1.8,1
T000332,C00494,O049773,2025-12-02 13:03:51,Payment,Medium,8.1,1
T000333,C02121,O007994,2025-12-18 14:36:53,Delivery,Low,17.7,1
T000334,C03078,O012701,2025-11-09 16:18:54,Product Quality,Medium,19.8,1
T000335,C07239,O001167,2025-01-24 13:26:11,Product Quality,Medium,35.0,0
T000336,C01305,O049216,2025-11-13 05:47:20,Delivery,Medium,11.2,1
T000337,C01492,O029300,2025-04-08 08:04:23,Product Quality,Medium,10.7,1
T000338,C07368,O046934,2025-03-09 21:21:27,Delivery,Medium,47.0,1
T000339,C04532,O024404,2025-07-11 19:45:26,Product Quality,High,6.9,1
T000340,C09012,O054846,2025-06-19 18:35:13,Product Quality,Low,5.3,1
T000341,C04443,O045568,2025-01-10 21:20:01,Return,Medium,7.4,1
T000342,C08333,O018255,2025-03-02 09:18:20,Return,Medium,17.8,1
T000343,C07124,O019124,2025-04-22 00:39:06,Return,Medium,23.3,0
T000344,C01192,O043918,2025-04-01 09:30:09,Other,High,10.2,1
T000345,C01243,O054778,2025-04-01 10:36:06,Cancellation,Low,14.8,1
T000346,C02278,O029438,2025-11-04 15:55:31,Cancellation,Low,16.8,1
T000347,C05962,O049646,2025-08-02 09:04:49,Payment,Medium,4.9,1
T000348,C03789,O003880,2025-11-21 18:36:00,Cancellation,Low,2.9,1
T000349,C08783,O051649,2025-03-02 13:21:26,Delivery,Medium,7.7,1
T000350,C01259,O000740,2025-02-09 13:59:59,Other,High,9.0,1
T000351,C06616,O013513,2025-08-26 04:50:43,Product Quality,High,9.1,1
T000352,C02134,O046467,2025-11-19 13:00:54,Product Quality,High,11.3,1
T000353,C02392,O003853,2025-01-13 07:18:44,Delivery,Low,36.4,1
T000354,C08350,O049331,2025-11-21 20:08:24,Product Quality,Low,15.1,1
T000355,C08471,O012879,2025-06-01 12:30:21,Cancellation,Medium,3.5,1
T000356,C07329,O013915,2025-01-24 15:35:43,Return,High,22.1,1
