order_id,customer_id,order_date,order_status,payment_method,discount,shipping_fee,total_revenue,total_profit
O000025,C03825,2025-01-29 00:19:24,Completed,Debit Card,150.0,83.47,0.0,-129.13
O000026,C03894,2025-06-21 12:50:35,Completed,COD,0.0,0.0,6009.78,3256.93
O000027,C07350,2025-12-15 07:59:48,Completed,UPI,0.0,0.0,7021.83,4095.24
O000028,C06426,2025-04-26 09:23:42,Completed,Debit Card,100.0,0.0,3962.34,1748.04
O000029,C00134,2025-05-24 17:55:19,Completed,UPI,150.0,0.0,2309.32,891.95
O000030,C06538,2025-10-05 00:33:27,Cancelled,Net Banking,50.0,0.0,5614.77,3425.75
O000031,C07187,2025-09-14 08:47:07,Completed,COD,0.0,0.0,0.0,0.0
O000032,C09857,2025-02-04 09:39:45,Completed,Credit Card,0.0,0.0,3560.03,1586.65
O000033,C05846,2025-11-14 01:03:02,Completed,Credit Card,100.0,101.34,9268.22,5035.54
O000034,C06826,2025-02-16 17:05:53,Completed,Wallet,50.0,0.0,2077.46,1221.66
O000035,C07859,2025-12-15 20:17:59,Completed,UPI,300.0,0.0,2498.51,1072.21
O000036,C00956,2025-01-28 16:16:34,Completed,UPI,150.0,0.0,8656.97,4598.77
O000037,C07336,2025-07-24 08:43:09,Completed,UPI,50.0,0.0,16767.18,7402.98
O000038,C05448,2025-05-17 05:00:19,Completed,Net Banking,0.0,0.0,3561.33,2087.4
O000039,C00996,2025-02-19 02:39:16,Cancelled,UPI,300.0,0.0,1393.58,500.66
O000040,C06683,2025-12-09 20:05:34,Completed,Debit Card,0.0,0.0,8965.1,4245.77
O000041,C02326,2025-04-06 04:04:21,Completed,Credit Card,200.0,0.0,0.0,-200.0
O000042,C05357,2025-02-20 12:46:39,Completed,UPI,150.0,46.38,676.58,143.42
O000043,C02785,2025-04-22 12:18:23,Completed,Credit Card,100.0,0.0,9259.28,3587.78
O000044,C01039,2025-06-05 16:23:41,Completed,Debit Card,200.0,0.0,1416.54,599.35
O000045,C02493,2025-02-20 11:21:47,Completed,Wallet,500.0,81.2,3150.55,969.29
O000046,C04375,2025-09-13 22:09:36,Completed,UPI,200.0,0.0,3329.83,1306.6
O000047,C04928,2025-10-11 22:13:09,Completed,Credit Card,100.0,0.0,0.0,-100.0
O000048,C01471,2025-03-08 22:39:41,Completed,UPI,50.0,58.79,1266.05,668.7
O000049,C03190,2025-05-20 21:37:03,Completed,Credit Card,150.0,0.0,21820.26,12983.45
O000050,C08578,2025-01-21 20:05:13,Completed,Debit Card,50.0,0.0,1186.36,664.43
O000051,C09089,2025-06-12 02:56:45,Completed,UPI,50.0,0.0,2543.28,1158.9
O000052,C05331,2025-12-08 06:36:00,Completed,Net Banking,300.0,0.0,2985.41,1149.6
O000053,C04891,2025-07-22 22:07:28,Completed,Wallet,100.0,0.0,0.0,-100.0
O000054,C05792,2025-06-10 07:09:25,Completed,Net Banking,0.0,0.0,10347.03,5830.81
O000055,C02129,2025-11-24 18:36:45,Completed,Debit Card,200.0,0.0,1017.93,423.02
O000056,C09934,2025-06-05 23:11:23,Completed,Net Banking,200.0,85.09,5211.5,2179.22
O000057,C07439,2025-10-15 10:32:09,Completed,UPI,500.0,114.64,3736.38,1898.46
O000058,C02371,2025-10-17 07:15:32,Completed,Wallet,300.0,0.0,0.0,-300.0
O000059,C02693,2025-11-19 22:57:00,Completed,Credit Card,50.0,0.0,0.0,-50.0
O000060,C06468,2025-07-05 10:13:51,Completed,Net Banking,500.0,0.0,4427.81,1932.6
O000061,C03208,2025-06-05 21:36:14,Completed,COD,150.0,0.0,4310.0,1957.5
O000062,C03527,2025-06-22 23:41:45,Completed,UPI,50.0,0.0,9906.25,4041.48
O000063,C07787,2025-09-29 02:57:28,Completed,UPI,300.0,0.0,2022.38,860.73
O000064,C02644,2025-01-08 02:18:11,Completed,Net Banking,200.0,0.0,452.48,217.41
O000065,C07037,2025-08-29 16:52:38,Completed,Credit Card,50.0,0.0,0.0,-50.0
O000066,C09341,2025-05-21 08:23:24,Completed,UPI,0.0,0.0,1727.15,911.75
O000067,C01233,2025-10-02 04:28:17,Completed,Credit Card,50.0,80.02,7113.85,2782.04
O000068,C01430,2025-12-24 06:29:31,Completed,Debit Card,150.0,0.0,0.0,-150.0
O000069,C09420,2025-10-27 02:05:41,Completed,UPI,50.0,0.0,1950.1,578.2
O000070,C02023,2025-09-21 16:44:54,Completed,COD,150.0,0.0,2320.41,919.85
O000071,C00204,2025-05-27 03:07:37,Completed,UPI,200.0,0.0,347.17,112.1
O000072,C08669,2025-05-02 14:01:03,Completed,UPI,200.0,0.0,3891.23,2060.47
O000073,C02799,2025-02-08 13:42:22,Completed,COD,100.0,81.91,1964.87,965.27
O000074,C02964,2025-04-17 12:01:27,Completed,UPI,0.0,0.0,10145.76,4609.37
O000075,C02254,2025-03-10 11:35:50,Completed,COD,50.0,0.0,899.77,326.63
O000076,C09164,2025-02-25 07:03:02,Completed,Credit Card,150.0,0.0,0.0,-150.0
O000077,C07727,2025-01-20 06:34:09,Completed,Credit Card,500.0,47.94,0.0,-488.02
O000078,C05948,2025-08-05 23:00:20,Completed,Net Banking,300.0,0.0,3883.31,1574.33
O000079,C04521,2025-09-20 12:55:59,Completed,Credit Card,300.0,0.0,9463.03,4779.58
O000080,C01421,2025-05-24 23:05:31,Completed,UPI,200.0,0.0,2721.61,1047.0
O000081,C09248,2025-01-27 07:13:16,Completed,UPI,0.0,76.57,3241.62,1587.14
O000082,C07481,2025-07-25 03:44:31,Completed,Wallet,200.0,90.68,2273.28,933.35
O000083,C02765,2025-08-09 08:22:05,Completed,Credit Card,0.0,0.0,5795.12,3187.11
O000084,C09468,2025-05-15 08:14:02,Cancelled,UPI,100.0,105.89,1518.31,817.78
O000085,C09344,2025-01-13 02:22:39,Completed,UPI,500.0,0.0,5432.1,2440.34
O000086,C06577,2025-11-11 05:02:39,Completed,Credit Card,100.0,37.92,2721.28,1562.53
O000087,C09845,2025-09-25 14:03:51,Completed,Wallet,0.0,0.0,9774.89,4529.8
O000088,C01862,2025-08-01 20:51:09,Completed,UPI,150.0,0.0,6278.94,3109.83
O000089,C07305,2025-11-10 04:31:27,Cancelled,Credit Card,50.0,0.0,2455.84,1036.91
O000090,C01506,2025-07-12 00:58:57,Completed,UPI,0.0,0.0,5471.52,2686.68
O000091,C06900,2025-05-11 11:28:18,Completed,Credit Card,0.0,0.0,1977.81,1105.85
O000092,C09184,2025-11-10 03:00:22,Completed,Debit Card,100.0,0.0,6388.97,2522.9
O000093,C05341,2025-06-24 20:00:17,Completed,Credit Card,500.0,44.23,3385.84,1349.14
O000094,C07613,2025-05-14 17:38:06,Completed,Debit Card,100.0,0.0,20090.86,11623.09
O000095,C01417,2025-02-01 07:12:55,Completed,COD,200.0,0.0,638.6,250.38
O000096,C06315,2025-09-05 10:39:33,Completed,COD,0.0,0.0,0.0,0.0
O000097,C00620,2025-01-31 17:27:04,Completed,Wallet,50.0,0.0,2310.75,1484.15
O000098,C00359,2025-10-29 03:04:48,Completed,COD,100.0,52.99,1259.47,666.47
O000099,C06324,2025-08-13 08:19:54,Completed,UPI,150.0,0.0,7314.77,3537.68
O000100,C05704,2025-09-01 10:08:34,Cancelled,UPI,150.0,0.0,4267.05,2502.51
O000101,C03269,2025-02-03 17:20:08,Completed,Credit Card,150.0,114.49,914.66,372.25
O000102,C05116,2025-02-13 00:14:55,Completed,UPI,500.0,0.0,3991.6,1777.3
O000103,C06826,2025-02-08 03:59:42,Completed,COD,0.0,0.0,1720.79,1108.93
O000104,C06430,2025-07-16 12:53:56,Completed,UPI,0.0,0.0,1312.1,613.14
O000105,C00727,2025-03-14 02:01:30,Completed,UPI,100.0,0.0,0.0,-100.0
O000106,C06763,2025-11-28 09:30:28,Completed,Credit Card,0.0,61.98,897.06,544.64
O000107,C06577,2025-03-05 23:06:48,Completed,COD,100.0,0.0,2033.21,1043.05
O000108,C06680,2025-01-31 04:17:18,Completed,COD,100.0,0.0,3921.79,2246.49
O000109,C08462,2025-11-07 21:18:24,Completed,Credit Card,200.0,0.0,1665.12,893.04
O000110,C05744,2025-04-14 08:26:08,Completed,UPI,0.0,0.0,5758.16,2784.96
O000111,C09369,2025-09-21 14:11:07,Completed,Wallet,300.0,0.0,2762.29,1361.85
O000112,C09799,2025-01-25 06:20:38,Completed,Net Banking,150.0,0.0,9017.77,4771.36
O000113,C07502,2025-01-05 21:52:26,Completed,UPI,200.0,0.0,2172.36,1128.29
O000114,C03561,2025-03-18 09:42:05,Completed,UPI,300.0,0.0,1208.09,457.04
O000115,C01416,2025-11-23 18:38:23,Completed,Debit Card,0.0,0.0,3483.35,1651.72
O000116,C08177,2025-04-04 16:45:20,Completed,Net Banking,100.0,0.0,16680.62,9713.52
O000117,C01453,2025-05-08 21:19:28,Completed,Wallet,0.0,115.07,11446.7,6352.74
O000118,C01447,2025-06-10 01:48:07,Completed,Credit Card,0.0,113.09,570.16,266.28
O000119,C09176,2025-12-24 03:58:43,Completed,Net Banking,0.0,0.0,0.0,0.0
O000120,C05577,2025-10-05 12:09:41,Completed,Credit Card,0.0,0.0,1947.86,905.57
O000121,C02910,2025-02-10 15:20:32,Completed,Wallet,50.0,0.0,1458.31,626.02
O000122,C09625,2025-07-23 23:34:23,Completed,Debit Card,150.0,0.0,3911.26,1563.65
O000123,C07059,2025-05-31 10:11:34,Completed,UPI,50.0,0.0,2067.93,1043.25
O000124,C05327,2025-04-01 08:59:51,Completed,UPI,200.0,0.0,5380.91,2634.19
O000125,C03272,2025-02-17 12:44:47,Completed,Net Banking,0.0,0.0,8593.04,4616.16
O000126,C06749,2025-11-13 15:28:28,Completed,Net Banking,300.0,0.0,6006.19,3027.35
O000127,C07302,2025-07-13 16:47:29,Completed,Debit Card,50.0,0.0,2370.91,1182.08
O000128,C07109,2025-05-19 05:48:55,Completed,UPI,0.0,0.0,3807.23,2120.81
O000129,C01941,2025-10-25 10:00:24,Completed,UPI,50.0,0.0,563.0,137.41
O000130,C06955,2025-09-14 01:12:41,Completed,UPI,500.0,36.08,0.0,-490.98
O000131,C05792,2025-12-02 01:57:54,Completed,UPI,0.0,0.0,0.0,0.0
O000132,C08485,2025-01-04 09:52:15,Completed,UPI,200.0,0.0,865.16,359.89
O000133,C06230,2025-02-06 07:53:29,Completed,COD,0.0,91.88,7816.04,3923.03
O000134,C01449,2025-06-13 09:39:35,Completed,Wallet,0.0,68.26,7897.85,4332.86
O000135,C03166,2025-04-13 06:26:15,Completed,Net Banking,100.0,0.0,1724.45,999.18
O000136,C07426,2025-04-01 12:58:50,Completed,Debit Card,100.0,0.0,3182.31,1679.08
O000137,C07386,2025-08-23 02:27:16,Completed,UPI,500.0,67.32,2116.18,793.77
O000138,C02213,2025-01-10 20:44:07,Completed,Debit Card,200.0,0.0,4924.44,2409.93
O000139,C03519,2025-02-09 10:08:35,Completed,Debit Card,150.0,78.7,894.73,441.42
O000140,C00152,2025-10-31 03:25:56,Completed,Credit Card,0.0,0.0,5119.09,2836.98
O000141,C03292,2025-04-21 17:08:09,Completed,UPI,50.0,0.0,11096.47,5156.33
O000142,C00258,2025-10-17 10:03:31,Completed,COD,150.0,0.0,5592.7,2800.08
O000143,C08713,2025-05-26 15:01:57,Completed,UPI,150.0,35.02,8516.69,3829.88
O000144,C06650,2025-03-11 05:46:05,Completed,UPI,150.0,0.0,1787.64,915.68
O000145,C09687,2025-06-10 14:15:16,Completed,UPI,0.0,0.0,24064.88,14487.86
O000146,C08904,2025-10-12 22:57:14,Completed,UPI,200.0,111.19,0.0,-172.2
O000147,C06017,2025-08-16 21:33:25,Completed,UPI,100.0,104.24,4.24,-73.94
O000148,C05019,2025-04-16 17:07:58,Completed,Credit Card,300.0,114.1,4064.1,2294.58
O000149,C08819,2025-02-03 06:05:13,Completed,Credit Card,150.0,72.61,2163.75,982.56
O000150,C02965,2025-09-17 20:20:54,Completed,UPI,200.0,0.0,6469.71,2953.57
O000151,C02221,2025-01-23 04:04:55,Completed,Credit Card,100.0,75.25,3924.52,1985.57
O000152,C04088,2025-12-14 07:51:13,Completed,Debit Card,0.0,0.0,3623.26,1973.09
O000153,C00516,2025-01-21 07:26:28,Completed,Wallet,0.0,0.0,2269.12,932.45
O000154,C02999,2025-11-23 21:11:04,Cancelled,UPI,500.0,0.0,7254.27,3569.12
O000155,C00828,2025-11-08 13:23:24,Completed,Credit Card,200.0,0.0,12051.85,6148.4
O000156,C00511,2025-06-10 07:30:21,Completed,Net Banking,150.0,0.0,219.17,-23.59
O000157,C05495,2025-01-27 06:38:17,Completed,Debit Card,150.0,0.0,4435.99,2140.61
O000158,C07069,2025-03-25 18:49:30,Completed,Credit Card,100.0,0.0,1251.13,628.15
O000159,C05346,2025-12-09 13:23:21,Completed,Wallet,200.0,56.6,0.0,-185.85
O000160,C00698,2025-12-05 10:29:42,Completed,Credit Card,100.0,72.86,6269.79,3123.58
O000161,C03931,2025-05-20 09:02:02,Completed,Credit Card,0.0,0.0,6206.4,3720.65
O000162,C01098,2025-12-28 11:04:35,Completed,UPI,100.0,0.0,16506.3,9073.33
O000163,C06483,2025-07-01 22:59:24,Completed,Credit Card,150.0,0.0,716.42,328.2
O000164,C08241,2025-03-01 09:27:58,Completed,Credit Card,100.0,101.03,3165.6,1601.21
O000165,C01157,2025-11-01 02:41:21,Completed,UPI,300.0,0.0,8958.2,5048.15
O000166,C00660,2025-09-12 17:40:56,Completed,COD,0.0,0.0,1412.97,804.22
O000167,C04045,2025-04-15 21:03:29,Completed,Debit Card,0.0,0.0,219.13,77.93
O000168,C03016,2025-04-30 11:43:09,Completed,Debit Card,300.0,0.0,0.0,-300.0
O000169,C02587,2025-04-19 05:51:20,Completed,Net Banking,0.0,0.0,1428.26,858.39
O000170,C02101,2025-07-31 09:46:00,Completed,UPI,100.0,0.0,2627.07,1363.44
O000171,C03149,2025-01-30 19:08:49,Cancelled,COD,300.0,0.0,2154.43,789.74
O000172,C09649,2025-09-17 14:50:57,Completed,Wallet,300.0,0.0,3301.31,2005.43
O000173,C08562,2025-08-02 07:05:53,Completed,Debit Card,50.0,0.0,2521.8,1189.28
O000174,C05996,2025-08-25 05:13:13,Completed,Debit Card,150.0,57.1,0.0,-135.72
O000175,C07978,2025-03-28 05:44:54,Completed,UPI,50.0,0.0,4178.77,1739.11
O000176,C00147,2025-06-13 05:21:05,Completed,UPI,150.0,33.88,1641.08,741.69
O000177,C01102,2025-12-19 12:45:08,Cancelled,COD,50.0,0.0,0.0,-50.0
O000178,C02901,2025-07-17 13:45:36,Completed,UPI,0.0,0.0,3356.78,1763.89
O000179,C06422,2025-03-24 08:29:49,Completed,Net Banking,100.0,50.64,3998.1,1558.18
O000180,C08816,2025-03-24 06:15:19,Completed,UPI,0.0,0.0,2589.0,1297.31
O000181,C02294,2025-02-01 13:16:12,Completed,Credit Card,150.0,0.0,223.45,-25.74
O000182,C01376,2025-08-29 19:15:04,Completed,Credit Card,0.0,0.0,1130.74,509.23
O000183,C08466,2025-03-24 18:53:50,Completed,Credit Card,100.0,0.0,2411.42,843.14
O000184,C04077,2025-12-21 21:49:19,Completed,UPI,50.0,0.0,12374.05,6289.8
O000185,C06980,2025-01-02 16:56:15,Completed,Credit Card,0.0,0.0,2038.65,1215.97
O000186,C05461,2025-03-09 02:20:38,Completed,Net Banking,200.0,0.0,0.0,-200.0
O000187,C01748,2025-09-26 17:04:35,Completed,COD,0.0,109.19,1809.53,1121.75
O000188,C06991,2025-01-19 02:02:52,Completed,Credit Card,100.0,0.0,31208.99,15911.2
O000189,C04189,2025-07-31 11:11:08,Cancelled,UPI,100.0,0.0,0.0,-100.0
O000190,C02852,2025-08-01 06:04:50,Completed,UPI,50.0,39.89,1927.39,1006.57
O000191,C09016,2025-12-25 05:29:20,Completed,Net Banking,0.0,0.0,14445.99,7676.85
O000192,C00063,2025-05-20 10:06:49,Completed,Wallet,200.0,92.84,0.0,-176.79
O000193,C04032,2025-05-28 19:26:21,Completed,COD,200.0,0.0,5317.59,2201.04
O000194,C02985,2025-06-14 08:37:57,Completed,UPI,100.0,0.0,2367.15,1175.09
O000195,C00528,2025-05-18 02:31:22,Completed,Debit Card,100.0,34.92,5935.0,2993.42
O000196,C00794,2025-08-13 02:58:32,Completed,Credit Card,150.0,0.0,824.82,257.63
O000197,C01712,2025-10-23 09:10:59,Completed,Debit Card,300.0,0.0,0.0,-300.0
O000198,C05038,2025-04-29 07:58:36,Completed,COD,0.0,39.56,18006.0,10113.55
O000199,C02802,2025-08-20 17:59:13,Completed,Net Banking,100.0,0.0,7658.27,2854.39
O000200,C08361,2025-08-28 13:24:04,Completed,Debit Card,50.0,111.7,61.7,-22.08
O000201,C02383,2025-08-06 08:33:17,Completed,Credit Card,0.0,0.0,2186.49,1146.91
O000202,C07193,2025-01-20 15:56:17,Completed,UPI,300.0,0.0,0.0,-300.0
O000203,C02090,2025-12-21 16:51:33,Completed,UPI,0.0,0.0,1551.2,887.71
O000204,C00415,2025-08-01 15:52:32,Completed,UPI,0.0,0.0,4673.32,1789.75
O000205,C02623,2025-09-27 17:37:01,Completed,Credit Card,150.0,33.04,0.0,-141.74
O000206,C08359,2025-09-15 02:35:30,Completed,UPI,0.0,0.0,9385.06,4547.9
O000207,C00812,2025-09-24 23:25:46,Cancelled,Debit Card,300.0,0.0,473.4,90.57
O000208,C03422,2025-03-29 15:20:19,Completed,UPI,300.0,0.0,936.17,386.16
O000209,C00082,2025-03-23 13:59:50,Completed,COD,50.0,0.0,1639.38,850.0
O000210,C06286,2025-07-12 00:08:57,Completed,UPI,0.0,0.0,10513.11,5400.58
O000211,C09419,2025-07-19 09:48:04,Completed,UPI,50.0,0.0,4126.99,1979.28
O000212,C03821,2025-02-13 21:27:32,Completed,Net Banking,300.0,0.0,185.02,-12.12
O000213,C05746,2025-02-13 00:15:01,Completed,UPI,50.0,0.0,2556.67,1369.16
O000214,C04512,2025-04-25 14:32:11,Completed,COD,150.0,119.68,4678.15,2581.04
O000215,C09730,2025-05-13 05:18:49,Completed,Net Banking,300.0,0.0,1802.87,538.76
O000216,C07349,2025-07-11 03:24:03,Completed,Wallet,50.0,0.0,3088.91,1841.95
O000217,C00431,2025-03-20 05:31:15,Completed,Credit Card,100.0,0.0,1553.32,610.43
O000218,C01079,2025-06-27 21:22:53,Completed,UPI,500.0,0.0,15190.54,8392.01
O000219,C04693,2025-07-23 17:47:00,Completed,Debit Card,0.0,0.0,0.0,0.0
O000220,C06301,2025-02-02 15:07:34,Completed,COD,100.0,0.0,4986.87,2539.06
O000221,C02879,2025-03-09 15:50:02,Completed,COD,100.0,63.8,4382.37,2437.01
O000222,C06730,2025-05-26 16:56:02,Completed,Credit Card,50.0,0.0,1365.45,750.95
O000223,C05741,2025-05-29 06:28:29,Completed,UPI,50.0,0.0,6715.22,2967.99
O000224,C04336,2025-07-20 22:57:43,Completed,Wallet,0.0,0.0,1457.43,872.93
O000225,C05801,2025-10-31 12:50:32,Completed,UPI,200.0,0.0,6197.21,2983.73
O000226,C09149,2025-01-11 16:24:48,Completed,Credit Card,150.0,0.0,4273.39,1806.57
O000227,C02416,2025-12-11 20:49:50,Completed,UPI,300.0,0.0,179.92,-538.44
O000228,C07881,2025-12-29 09:34:30,Completed,Net Banking,150.0,0.0,4386.59,1985.33
O000229,C00119,2025-08-14 03:34:26,Completed,Net Banking,200.0,0.0,2727.77,1597.46
O000230,C00839,2025-05-02 11:54:14,Completed,Wallet,300.0,101.64,3614.44,1825.17
O000231,C09490,2025-04-24 12:38:33,Completed,UPI,100.0,0.0,9951.46,5180.48
O000232,C06960,2025-11-05 04:17:09,Completed,Net Banking,100.0,0.0,0.0,-100.0
O000233,C06316,2025-04-07 14:58:19,Completed,Credit Card,500.0,0.0,497.71,-76.47
O000234,C03315,2025-06-24 01:17:44,Completed,UPI,100.0,0.0,2870.48,1456.38
O000235,C01835,2025-05-15 01:29:08,Completed,Net Banking,100.0,0.0,0.0,-100.0
O000236,C03778,2025-04-17 04:19:07,Completed,UPI,300.0,30.6,9499.4,5170.86
O000237,C05966,2025-01-09 01:54:35,Completed,Wallet,300.0,0.0,10224.48,4765.81
O000238,C06327,2025-12-26 15:39:15,Completed,UPI,500.0,0.0,760.79,290.65
O000239,C01685,2025-04-15 19:13:04,Completed,Debit Card,150.0,0.0,0.0,-150.0
O000240,C04442,2025-03-20 12:59:42,Completed,Debit Card,50.0,106.77,704.86,146.92
O000241,C05644,2025-11-08 10:59:42,Completed,Credit Card,50.0,35.76,5840.68,2571.23
O000242,C09594,2025-03-25 06:57:54,Completed,UPI,300.0,0.0,1842.12,942.49
O000243,C05475,2025-11-24 13:54:24,Completed,Net Banking,100.0,76.33,3238.21,1709.26
O000244,C05784,2025-09-08 00:41:57,Completed,UPI,0.0,0.0,2478.13,1377.49
O000245,C07634,2025-10-20 20:31:29,Completed,UPI,100.0,0.0,1835.37,820.66
O000246,C04171,2025-04-11 11:47:45,Completed,Credit Card,100.0,49.63,0.0,-87.59
O000247,C03816,2025-07-26 03:40:30,Completed,Credit Card,0.0,0.0,607.86,311.13
O000248,C05884,2025-01-21 11:40:35,Completed,Credit Card,150.0,0.0,6910.63,3704.4
O000249,C07808,2025-03-23 14:09:46,Completed,COD,100.0,32.22,9305.06,5621.0
O000250,C06362,2025-01-02 06:09:32,Completed,Credit Card,500.0,96.21,540.05,73.61
O000251,C01853,2025-05-22 04:07:49,Completed,Credit Card,100.0,0.0,1018.77,590.87
O000252,C03961,2025-04-21 00:03:46,Completed,COD,100.0,0.0,1090.29,495.38
O000253,C05113,2025-11-10 14:19:25,Cancelled,UPI,100.0,0.0,0.0,-100.0
O000254,C05221,2025-10-08 09:52:59,Completed,Net Banking,150.0,0.0,1845.63,1019.03
O000255,C03371,2025-03-17 10:27:49,Completed,Wallet,0.0,0.0,27487.58,15574.22
O000256,C05208,2025-01-22 05:14:37,Completed,UPI,0.0,71.12,2681.59,1114.11
O000257,C06715,2025-04-09 01:44:25,Completed,Credit Card,500.0,0.0,0.0,-245.85
O000258,C04668,2025-10-21 08:54:39,Completed,Credit Card,100.0,0.0,7265.37,4435.33
O000259,C04503,2025-03-02 02:41:34,Completed,COD,300.0,115.18,202.11,-138.71
O000260,C07988,2025-07-31 08:53:54,Completed,COD,150.0,0.0,0.0,-150.0
O000261,C07552,2025-04-09 10:15:18,Completed,Net Banking,50.0,0.0,0.0,-50.0
O000262,C04207,2025-11-28 06:20:57,Completed,Debit Card,50.0,0.0,7027.98,4361.65
O000263,C09960,2025-07-17 07:15:55,Completed,Net Banking,0.0,0.0,597.5,308.37
O000264,C00658,2025-11-16 09:04:05,Completed,Debit Card,300.0,0.0,3594.07,1592.91
O000265,C03237,2025-05-30 19:18:42,Completed,Credit Card,150.0,0.0,0.0,-150.0
O000266,C00359,2025-04-23 19:24:59,Completed,Debit Card,50.0,0.0,4042.76,1640.82
O000267,C08378,2025-02-28 07:52:00,Completed,Debit Card,200.0,0.0,5357.6,2956.5
O000268,C07541,2025-04-06 10:15:53,Completed,UPI,0.0,0.0,4957.24,2359.42
O000269,C06819,2025-06-11 07:42:35,Completed,Credit Card,500.0,0.0,2514.2,884.46
O000270,C02128,2025-08-12 17:19:32,Completed,COD,150.0,0.0,1601.73,624.36
O000271,C07064,2025-02-16 11:49:43,Completed,UPI,0.0,0.0,1943.4,792.29
O000272,C03527,2025-07-20 01:13:29,Completed,Debit Card,200.0,0.0,11548.59,5621.3
O000273,C08669,2025-12-10 17:53:34,Completed,UPI,150.0,94.6,8483.9,3069.49
O000274,C01983,2025-09-29 18:38:38,Completed,COD,500.0,0.0,5975.37,2630.61
O000275,C02164,2025-10-03 23:14:09,Completed,Credit Card,0.0,0.0,538.5,256.1
O000276,C09601,2025-07-10 07:33:41,Completed,Wallet,500.0,0.0,1019.4,355.91
O000277,C05155,2025-01-23 00:16:54,Completed,Wallet,0.0,0.0,1660.89,925.04
O000278,C04450,2025-03-22 08:25:31,Completed,UPI,500.0,0.0,4786.64,2502.66
O000279,C03490,2025-09-05 09:23:11,Completed,Credit Card,50.0,0.0,3063.86,977.48
O000280,C08292,2025-12-09 22:14:41,Completed,UPI,500.0,0.0,0.0,-500.0
O000281,C03500,2025-07-23 10:59:31,Completed,COD,100.0,0.0,5907.85,2955.71
O000282,C03536,2025-06-04 03:03:04,Completed,UPI,100.0,0.0,1930.54,906.37
O000283,C01224,2025-01-11 08:18:25,Completed,Wallet,150.0,0.0,4694.41,2275.83
O000284,C05193,2025-09-08 00:02:36,Completed,UPI,500.0,0.0,1903.68,865.52
O000285,C09224,2025-01-07 05:36:51,Completed,Credit Card,500.0,0.0,8685.67,4394.62
O000286,C09568,2025-02-21 18:35:28,Completed,Credit Card,50.0,0.0,8981.22,5057.58
O000287,C09954,2025-01-22 10:38:16,Completed,UPI,200.0,0.0,0.0,-200.0
O000288,C04718,2025-10-08 23:44:10,Completed,Credit Card,0.0,0.0,8031.96,3461.59
O000289,C07732,2025-06-13 06:04:19,Completed,UPI,50.0,0.0,0.0,-50.0
O000290,C05505,2025-02-23 21:30:51,Completed,Wallet,100.0,0.0,8034.73,4624.92
O000291,C05460,2025-11-23 22:24:07,Completed,Credit Card,150.0,0.0,8696.01,4628.29
O000292,C08038,2025-03-20 01:31:07,Completed,UPI,50.0,71.39,2645.7,1640.0
O000293,C08336,2025-06-17 08:18:10,Completed,Net Banking,0.0,0.0,6525.7,3268.24
