session_id,customer_id,session_date,session_duration,pages_viewed,device,traffic_source
S000036,C03428,2025-05-24 09:51:14,8.02,6,Mobile,Email
S000037,C06448,2025-11-25 02:48:10,9.36,3,Desktop,Organic
S000038,C08584,2025-12-30 21:37:48,6.25,8,Mobile,Referral
S000039,C02053,2025-03-20 18:45:06,3.74,7,Mobile,Referral
S000040,C06019,2025-07-08 12:26:23,7.88,5,Mobile,Paid Ads
S000041,C04927,2025-03-20 19:43:45,3.18,4,Mobile,Organic
S000042,C06945,2025-09-06 13:16:16,3.98,2,Mobile,Email
S000043,C02542,2025-05-27 23:46:56,2.56,5,Desktop,Email
S000044,C06396,2025-08-03 20:18:48,3.19,4,Desktop,Social Media
S000045,C03681,2025-12-15 02:52:49,23.97,4,Mobile,Paid Ads
S000046,C08478,2025-01-22 10:30:29,4.18,4,Desktop,Email
S000047,C02960,2025-06-04 14:31:31,7.04,8,Desktop,Organic
S000048,C01860,2025-06-02 06:57:43,7.01,8,Mobile,Social Media
S000049,C08821,2025-06-29 17:04:30,5.77,5,Mobile,Referral
S000050,C08140,2025-01-21 13:45:07,3.07,4,Mobile,Social Media
S000051,C00478,2025-09-10 00:37:57,7.22,2,Mobile,Organic
S000052,C06278,2025-08-12 02:49:04,8.69,7,Mobile,Social Media
S000053,C05675,2025-02-18 23:59:45,7.12,7,Mobile,Organic
S000054,C02564,2025-06-11 03:29:02,4.65,11,Mobile,Organic
S000055,C02392,2025-12-23 13:31:53,4.04,8,Desktop,Organic
S000056,C06183,2025-07-25 11:55:35,5.33,8,Mobile,Paid Ads
S000057,C04135,2025-07-16 23:24:38,7.52,4,Mobile,Referral
S000058,C02539,2025-08-25 03:37:04,5.68,4,Desktop,Social Media
S000059,C08135,2025-08-15 09:08:12,1.69,5,Mobile,Paid Ads
S000060,C02679,2025-02-05 02:07:05,1.8,7,Mobile,Paid Ads
S000061,C04373,2025-05-13 12:32:43,2.76,2,Mobile,Organic
S000062,C04877,2025-01-01 03:41:50,2.42,5,Mobile,Organic
S000063,C08603,2025-01-12 05:38:50,10.65,6,Tablet,Paid Ads
S000064,C09146,2025-10-17 03:23:10,3.37,8,Desktop,Organic
S000065,C02597,2025-06-02 06:24:25,6.68,4,Desktop,Referral
S000066,C07455,2025-09-29 01:08:22,4.11,5,Tablet,Paid Ads
S000067,C02008,2025-05-10 10:20:16,4.41,7,Mobile,Referral
S000068,C03724,2025-10-22 19:17:45,5.77,4,Desktop,Social Media
S000069,C04318,2025-10-25 23:16:31,5.63,6,Mobile,Paid Ads
S000070,C04776,2025-07-11 16:21:37,5.26,7,Mobile,Paid Ads
S000071,C00602,2025-02-26 03:13:37,5.72,8,Desktop,Paid Ads
S000072,C08754,2025-07-06 18:34:23,3.98,4,Mobile,Paid Ads
S000073,C03698,2025-03-15 22:46:16,1.42,8,Mobile,Organic
S000074,C01790,2025-05-01 05:39:46,11.71,8,Mobile,Paid Ads
S000075,C05601,2025-05-22 02:48:40,5.69,9,Mobile,Social Media
S000076,C04940,2025-01-27 14:47:24,12.66,3,Desktop,Paid Ads
S000077,C09431,2025-07-05 11:58:34,15.12,6,Mobile,Paid Ads
S000078,C03229,2025-05-30 03:44:15,15.17,6,Mobile,Referral
S000079,C06411,2025-06-29 18:32:28,8.88,7,Mobile,Organic
S000080,C00733,2025-12-29 03:52:45,2.52,5,Mobile,Paid Ads
S000081,C02066,2025-05-28 15:42:52,5.05,5,Mobile,Referral
S000082,C02026,2025-02-06 14:55:27,2.98,5,Desktop,Organic
S000083,C04065,2025-10-15 18:06:14,16.17,13,Mobile,Referral
S000084,C05892,2025-03-24 08:30:08,4.98,5,Desktop,Organic
S000085,C01858,2025-09-06 05:58:21,6.32,4,Mobile,Referral
S000086,C04925,2025-07-13 22:53:27,7.07,5,Desktop,Social Media
S000087,C05472,2025-01-05 06:40:17,4.73,7,Desktop,Organic
S000088,C09667,2025-11-28 04:00:08,9.02,6,Mobile,Referral
S000089,C04053,2025-10-16 00:29:25,7.59,6,Tablet,Paid Ads
S000090,C04675,2025-10-27 00:09:41,10.13,6,Desktop,Social Media
S000091,C02650,2025-01-08 15:02:49,9.75,6,Mobile,Email
S000092,C07346,2025-11-18 20:17:11,6.7,8,Mobile,Paid Ads
S000093,C01787,2025-03-08 23:49:35,4.31,3,Mobile,Paid Ads
S000094,C05555,2025-02-07 19:47:38,10.83,6,Mobile,Paid Ads
S000095,C02910,2025-07-08 08:43:42,11.13,6,Mobile,Referral
S000096,C03828,2025-11-29 06:41:30,6.89,10,Desktop,Organic
S000097,C08394,2025-01-31 07:23:56,14.36,5,Mobile,Paid Ads
S000098,C03348,2025-10-20 13:09:27,3.21,6,Desktop,Organic
S000099,C07951,2025-07-22 07:31:25,6.93,2,Mobile,Social Media
S000100,C00091,2025-08-30 20:19:40,19.14,5,Mobile,Email
S000101,C01874,2025-05-18 13:08:04,18.04,5,Mobile,Email
S000102,C01855,2025-04-09 11:35:46,19.48,5,Mobile,Referral
S000103,C01168,2025-11-26 00:56:22,23.82,6,Tablet,Email
S000104,C07595,2025-11-07 20:05:35,12.63,7,Mobile,Organic
S000105,C01027,2025-11-17 12:10:28,2.65,5,Mobile,Email
S000106,C07152,2025-03-31 12:39:53,7.22,5,Mobile,Social Media
S000107,C01534,2025-03-24 22:52:35,3.11,9,Mobile,Referral
S000108,C02714,2025-04-30 09:08:50,8.19,9,Desktop,Email
S000109,C00407,2025-01-25 15:47:38,7.96,8,Mobile,Paid Ads
S000110,C01859,2025-06-11 09:29:45,11.97,6,Mobile,Email
S000111,C02870,2025-01-01 21:21:40,1.15,3,Mobile,Paid Ads
S000112,C01636,2025-06-05 04:56:33,18.7,9,Desktop,Social Media
S000113,C08962,2025-08-06 14:35:07,6.06,4,Desktop,Paid Ads
S000114,C09131,2025-10-29 07:18:34,2.32,11,Mobile,Referral
S000115,C02984,2025-01-11 21:13:05,1.77,4,Mobile,Organic
S000116,C09107,2025-10-15 06:21:46,13.47,5,Mobile,Paid Ads
S000117,C03923,2025-05-06 19:32:51,6.75,5,Mobile,Paid Ads
S000118,C08394,2025-09-18 17:12:16,5.63,11,Mobile,Organic
S000119,C02688,2025-10-10 19:39:00,3.02,7,Mobile,Email
S000120,C05912,2025-12-08 18:03:46,3.45,3,Mobile,Organic
S000121,C06554,2025-11-14 06:08:13,8.45,9,Desktop,Referral
S000122,C07169,2025-05-05 05:10:49,6.41,5,Tablet,Social Media
S000123,C01391,2025-04-03 11:59:41,4.07,7,Desktop,Paid Ads
S000124,C08090,2025-02-09 21:37:29,4.75,7,Mobile,Organic
S000125,C02296,2025-05-26 22:46:39,9.06,11,Desktop,Referral
S000126,C05963,2025-12-04 03:23:20,4.78,6,Mobile,Organic
S000127,C05957,2025-01-03 14:51:04,25.15,7,Desktop,Social Media
S000128,C02502,2025-06-28 22:52:19,3.39,9,Mobile,Referral
S000129,C07871,2025-08-02 18:00:51,6.99,6,Mobile,Referral
S000130,C01595,2025-02-09 13:57:16,3.07,10,Mobile,Paid Ads
S000131,C02240,2025-09-09 23:09:10,6.75,7,Mobile,Organic
S000132,C01723,2025-10-04 05:16:38,4.6,6,Mobile,Social Media
S000133,C01659,2025-07-28 11:54:56,7.03,5,Mobile,Referral
S000134,C09817,2025-07-11 10:14:39,7.62,11,Desktop,Paid Ads
S000135,C08925,2025-11-02 11:00:24,7.47,6,Desktop,Organic
S000136,C02465,2025-10-21 13:00:58,5.35,7,Desktop,Referral
S000137,C03817,2025-06-15 22:01:58,9.65,6,Desktop,Organic
S000138,C02285,2025-02-14 01:14:03,13.04,6,Mobile,Paid Ads
S000139,C07903,2025-04-19 12:29:41,7.69,6,Mobile,Email
S000140,C01795,2025-12-22 09:07:58,12.18,5,Desktop,Organic
S000141,C02190,2025-02-11 17:29:56,3.72,10,Desktop,Email
S000142,C06809,2025-07-17 08:25:56,18.57,9,Mobile,Referral
S000143,C01409,2025-06-21 21:28:28,2.0,9,Mobile,Referral
S000144,C05325,2025-08-14 17:48:49,3.63,5,Tablet,Social Media
S000145,C08634,2025-02-02 11:31:39,12.06,4,Desktop,Paid Ads
S000146,C01587,2025-09-06 21:21:55,8.86,7,Mobile,Referral
S000147,C03141,2025-11-13 05:22:37,9.57,2,Mobile,Organic
S000148,C06085,2025-04-25 09:38:24,1.76,4,Desktop,Organic
S000149,C04084,2025-02-24 01:05:53,5.32,8,Mobile,Paid Ads
S000150,C04471,2025-08-12 20:16:30,3.48,2,Mobile,Organic
S000151,C05109,2025-05-11 07:19:45,4.03,6,Tablet,Referral
S000152,C07554,2025-06-27 16:35:37,5.7,5,Mobile,Paid Ads
S000153,C09522,2025-11-28 14:46:18,14.11,6,Mobile,Paid Ads
S000154,C08783,2025-04-28 14:00:44,7.69,8,Mobile,Organic
S000155,C02327,2025-02-28 22:30:31,8.37,7,Mobile,Referral
S000156,C01756,2025-01-14 16:49:11,6.16,12,Tablet,Organic
S000157,C04260,2025-04-09 03:56:40,0.96,7,Desktop,Email
S000158,C09026,2025-12-12 03:24:25,3.93,2,Mobile,Social Media
S000159,C05507,2025-03-10 23:37:50,5.97,9,Mobile,Organic
S000160,C07858,2025-07-15 14:37:11,14.05,3,Desktop,Organic
S000161,C07588,2025-10-14 13:58:21,7.57,5,Mobile,Referral
S000162,C05167,2025-08-10 15:34:26,5.87,5,Mobile,Paid Ads
S000163,C05969,2025-04-27 13:03:25,10.71,7,Desktop,Social Media
S000164,C07029,2025-11-16 13:55:44,0.73,7,Tablet,Social Media
S000165,C07031,2025-06-21 13:56:56,5.27,6,Mobile,Paid Ads
S000166,C03413,2025-05-03 16:36:58,7.58,5,Mobile,Organic
S000167,C01333,2025-03-22 09:47:51,5.72,6,Mobile,Email
S000168,C00123,2025-11-21 09:06:01,16.76,7,Mobile,Organic
S000169,C07096,2025-07-11 14:32:08,12.87,5,Mobile,Paid Ads
S000170,C09521,2025-07-17 22:15:09,3.59,9,Mobile,Organic
S000171,C03888,2025-08-04 07:53:16,7.76,4,Desktop,Paid Ads
S000172,C01130,2025-04-15 16:08:12,8.7,5,Mobile,Paid Ads
S000173,C04766,2025-02-22 07:49:04,1.8,6,Mobile,Referral
S000174,C06688,2025-09-29 12:58:41,7.19,3,Mobile,Paid Ads
S000175,C04928,2025-04-20 04:13:56,8.57,3,Tablet,Paid Ads
S000176,C04420,2025-01-19 23:03:06,2.54,5,Mobile,Paid Ads
S000177,C09772,2025-02-26 16:23:06,12.21,5,Mobile,Organic
S000178,C09209,2025-10-18 07:35:25,1.54,4,Desktop,Email
S000179,C02120,2025-09-06 19:23:33,2.02,6,Mobile,Social Media
S000180,C04419,2025-02-24 02:52:34,19.02,8,Desktop,Referral
S000181,C01285,2025-09-10 17:53:10,7.53,5,Mobile,Email
S000182,C00020,2025-06-07 02:43:37,7.35,3,Desktop,Paid Ads
S000183,C04507,2025-11-03 22:03:08,15.33,5,Mobile,Organic
S000184,C03558,2025-12-08 20:20:33,4.13,3,Desktop,Referral
S000185,C00632,2025-01-24 11:05:52,3.1,6,Mobile,Referral
S000186,C09972,2025-07-29 07:24:18,14.15,10,Mobile,Social Media
S000187,C07452,2025-10-02 14:40:44,23.7,10,Desktop,Paid Ads
S000188,C05603,2025-07-13 04:26:00,9.14,4,Mobile,Referral
S000189,C00090,2025-09-26 21:16:51,1.16,4,Tablet,Referral
S000190,C07833,2025-08-14 09:27:12,1.86,5,Mobile,Paid Ads
S000191,C02326,2025-04-12 04:19:06,5.38,6,Mobile,Paid Ads
S000192,C04510,2025-02-27 23:21:40,17.4,3,Mobile,Organic
S000193,C06014,2025-10-04 04:13:27,9.67,10,Mobile,Email
S000194,C04399,2025-12-22 23:23:53,15.27,5,Mobile,Referral
S000195,C02090,2025-06-04 08:57:37,13.34,4,Desktop,Paid Ads
S000196,C03595,2025-11-21 21:52:38,17.71,3,Mobile,Referral
S000197,C04921,2025-02-17 21:38:59,6.64,5,Tablet,Paid Ads
S000198,C04848,2025-09-30 11:03:07,4.84,8,Mobile,Organic
S000199,C01318,2025-07-06 16:17:09,3.77,4,Desktop,Paid Ads
S000200,C05519,2025-12-10 20:02:56,13.13,4,Mobile,Email
S000201,C02936,2025-09-30 11:04:40,7.36,7,Mobile,Paid Ads
S000202,C05491,2025-09-21 06:51:28,16.28,8,Desktop,Social Media
S000203,C02471,2025-01-14 21:04:36,7.13,7,Mobile,Organic
S000204,C09495,2025-03-16 22:25:21,2.72,5,Mobile,Paid Ads
S000205,C02039,2025-01-04 12:32:06,5.18,6,Mobile,Organic
S000206,C07357,2025-10-07 07:57:25,5.35,9,Mobile,Paid Ads
S000207,C05331,2025-11-10 05:55:31,16.8,5,Mobile,Referral
S000208,C09970,2025-03-05 04:58:18,9.76,5,Mobile,Paid Ads
S000209,C03272,2025-04-19 18:24:22,4.96,9,Desktop,Organic
S000210,C05678,2025-06-10 01:29:42,5.18,7,Mobile,Referral
S000211,C08288,2025-08-20 23:46:39,11.63,10,Mobile,Paid Ads
S000212,C02413,2025-09-13 22:40:31,12.97,8,Mobile,Organic
S000213,C07935,2025-07-13 14:52:34,9.78,4,Tablet,Social Media
S000214,C03125,2025-07-04 12:47:09,5.22,4,Mobile,Social Media
S000215,C08691,2025-01-07 06:53:54,9.85,9,Desktop,Organic
S000216,C03265,2025-06-23 05:11:25,11.53,4,Mobile,Email
S000217,C04850,2025-08-20 15:28:48,9.96,3,Mobile,Referral
S000218,C05123,2025-06-12 09:30:04,14.66,2,Mobile,Social Media
S000219,C08501,2025-09-10 14:30:10,7.84,2,Mobile,Organic
S000220,C02227,2025-01-15 17:39:33,7.09,5,Mobile,Email
S000221,C06978,2025-06-21 11:08:28,20.07,6,Mobile,Organic
S000222,C06597,2025-08-19 16:06:21,6.98,4,Mobile,Paid Ads
S000223,C01617,2025-07-23 16:41:28,1.13,6,Mobile,Email
S000224,C08352,2025-02-21 09:40:56,3.47,9,Mobile,Paid Ads
S000225,C07248,2025-09-07 15:23:55,6.33,4,Desktop,Paid Ads
S000226,C07240,2025-04-29 02:06:34,4.22,5,Mobile,Email
S000227,C03892,2025-07-04 12:33:47,3.97,9,Mobile,Referral
S000228,C06394,2025-05-29 03:49:20,1.98,7,Mobile,Social Media
S000229,C07126,2025-11-12 21:58:51,17.63,12,Mobile,Referral
S000230,C09684,2025-05-10 08:06:21,2.72,8,Mobile,Organic
S000231,C04270,2025-08-22 18:39:56,3.58,4,Tablet,Organic
S000232,C07508,2025-06-28 17:14:58,9.54,3,Mobile,Referral
S000233,C01847,2025-06-26 12:42:41,11.87,7,Mobile,Organic
S000234,C09193,2025-06-09 01:38:09,3.62,7,Mobile,Organic
S000235,C06238,2025-03-11 08:52:24,11.57,3,Desktop,Organic
S000236,C09849,2025-02-24 06:16:44,27.85,7,Tablet,Paid Ads
S000237,C08408,2025-05-15 16:41:37,4.37,5,Mobile,Organic
S000238,C07057,2025-06-21 11:09:27,10.34,7,Mobile,Paid Ads
S000239,C08294,2025-03-15 13:32:11,8.74,7,Desktop,Paid Ads
S000240,C03538,2025-12-19 02:52:35,6.96,5,Mobile,Organic
S000241,C03485,2025-10-05 01:31:15,16.81,5,Desktop,Paid Ads
S000242,C03976,2025-07-17 02:27:46,6.33,4,Mobile,Referral
S000243,C02229,2025-02-04 09:35:31,2.27,9,Mobile,Social Media
S000244,C05368,2025-07-24 15:46:22,13.7,7,Mobile,Social Media
S000245,C03899,2025-11-16 10:13:41,6.28,4,Mobile,Organic
S000246,C07603,2025-03-01 19:25:11,9.87,2,Tablet,Paid Ads
S000247,C05714,2025-02-27 22:54:30,1.2,7,Mobile,Organic
S000248,C02003,2025-09-06 19:26:49,1.87,10,Desktop,Referral
S000249,C02743,2025-03-07 11:44:34,11.29,4,Desktop,Organic
S000250,C02504,2025-12-18 11:47:43,7.21,12,Mobile,Organic
S000251,C04806,2025-01-09 08:51:37,9.64,6,Mobile,Social Media
S000252,C09646,2025-08-20 12:27:53,7.08,3,Desktop,Social Media
S000253,C05349,2025-02-21 17:54:49,7.7,4,Mobile,Organic
S000254,C01900,2025-09-28 11:01:12,5.28,3,Desktop,Referral
S000255,C07213,2025-12-26 02:07:24,16.44,4,Mobile,Email
S000256,C07926,2025-05-18 22:24:09,9.54,8,Desktop,Referral
S000257,C06771,2025-06-24 19:04:14,1.96,5,Desktop,Organic
S000258,C09212,2025-10-21 05:24:22,2.16,5,Mobile,Referral
S000259,C08803,2025-05-20 19:03:09,17.27,4,Mobile,Referral
S000260,C06029,2025-08-03 02:40:33,9.69,9,Mobile,Organic
S000261,C00245,2025-09-05 23:12:50,7.94,5,Mobile,Organic
S000262,C06640,2025-04-09 22:00:52,12.47,6,Mobile,Referral
S000263,C08807,2025-06-12 22:38:24,6.38,4,Mobile,Paid Ads
S000264,C03875,2025-11-03 08:00:13,10.85,4,Mobile,Organic
S000265,C05079,2025-02-11 12:40:22,5.59,8,Mobile,Email
S000266,C08081,2025-03-26 18:11:03,1.47,5,Desktop,Email
S000267,C04118,2025-01-26 08:54:37,10.8,8,Mobile,Social Media
S000268,C08102,2025-06-01 21:37:17,12.31,4,Mobile,Paid Ads
S000269,C07322,2025-06-24 16:36:45,9.43,6,Mobile,Organic
S000270,C03621,2025-06-09 02:59:04,3.58,6,Desktop,Paid Ads
S000271,C00432,2025-12-23 12:02:18,7.66,4,Tablet,Social Media
S000272,C01164,2025-04-06 04:13:46,7.21,2,Mobile,Organic
S000273,C03455,2025-07-18 04:18:56,12.01,6,Mobile,Organic
S000274,C04165,2025-07-24 01:02:27,11.91,7,Mobile,Social Media
S000275,C00705,2025-08-16 06:18:01,12.67,7,Desktop,Organic
S000276,C08394,2025-02-28 02:54:20,6.57,6,Desktop,Organic
S000277,C00189,2025-08-14 18:30:28,7.85,3,Mobile,Social Media
S000278,C00750,2025-08-28 17:45:21,5.09,10,Mobile,Paid Ads
S000279,C05624,2025-04-08 06:23:16,6.56,13,Mobile,Email
S000280,C00847,2025-06-02 18:04:31,5.81,4,Mobile,Paid Ads
S000281,C00617,2025-02-01 01:12:20,13.46,8,Desktop,Social Media
S000282,C06084,2025-05-25 00:22:24,9.58,7,Desktop,Referral
S000283,C09113,2025-12-14 11:50:27,12.81,4,Mobile,Referral
S000284,C00410,2025-07-13 19:39:39,4.74,7,Desktop,Organic
S000285,C07463,2025-02-07 01:53:45,4.41,9,Mobile,Paid Ads
S000286,C02012,2025-09-12 03:12:45,4.98,4,Desktop,Organic
S000287,C09589,2025-07-09 18:56:07,7.67,6,Tablet,Paid Ads
S000288,C04495,2025-11-26 11:20:51,9.76,6,Mobile,Social Media
S000289,C03470,2025-11-06 04:56:43,1.19,7,Tablet,Organic
S000290,C03996,2025-03-12 17:27:28,3.63,4,Desktop,Organic
S000291,C09353,2025-10-13 08:40:59,3.79,5,Mobile,Referral
S000292,C09063,2025-10-25 02:48:55,3.63,3,Mobile,Paid Ads
S000293,C02847,2025-08-13 07:33:54,4.8,9,Desktop,Social Media
S000294,C07435,2025-07-02 13:57:28,9.13,8,Desktop,Paid Ads
S000295,C02429,2025-01-05 09:17:20,4.71,2,Mobile,Paid Ads
S000296,C06158,2025-02-19 22:00:47,20.98,4,Desktop,Social Media
S000297,C06167,2025-07-14 13:51:18,6.05,9,Tablet,Organic
S000298,C04266,2025-11-26 04:06:12,8.31,4,Mobile,Referral
S000299,C03239,2025-11-06 23:59:39,10.83,5,Mobile,Organic
S000300,C00171,2025-10-11 06:42:09,8.65,10,Mobile,Organic
S000301,C01838,2025-04-26 03:15:17,9.65,6,Tablet,Referral
S000302,C03774,2025-01-04 08:20:23,1.0,8,Mobile,Organic
S000303,C06989,2025-01-03 06:48:45,3.53,7,Desktop,Social Media
S000304,C07415,2025-07-30 00:44:12,13.55,7,Mobile,Organic
S000305,C06220,2025-12-27 12:45:42,16.0,6,Mobile,Social Media
S000306,C01589,2025-10-05 05:56:24,14.6,9,Mobile,Paid Ads
S000307,C07508,2025-08-14 08:52:15,3.5,8,Mobile,Organic
S000308,C02494,2025-06-16 03:50:15,7.27,10,Mobile,Referral
S000309,C08791,2025-06-05 13:35:39,5.13,4,Mobile,Social Media
S000310,C03764,2025-10-04 19:21:21,14.91,3,Mobile,Organic
S000311,C08941,2025-08-02 00:21:06,8.1,6,Mobile,Organic
S000312,C03603,2025-12-11 16:28:29,16.0,7,Mobile,Referral
S000313,C07950,2025-04-15 10:11:09,18.4,5,Tablet,Social Media
S000314,C04329,2025-08-21 19:12:11,2.96,5,Mobile,Organic
S000315,C04609,2025-12-06 08:18:28,1.62,2,Desktop,Organic
S000316,C01687,2025-04-10 07:59:17,13.45,7,Mobile,Referral
S000317,C05846,2025-08-09 11:56:09,10.79,7,Mobile,Organic
S000318,C07594,2025-01-01 15:18:43,11.24,4,Mobile,Organic
S000319,C08370,2025-03-24 21:58:52,6.03,7,Desktop,Organic
S000320,C06533,2025-07-28 14:29:37,8.22,5,Mobile,Paid Ads
S000321,C07662,2025-01-25 08:08:23,3.07,8,Mobile,Organic
S000322,C04155,2025-10-11 12:56:31,16.68,8,Desktop,Email
S000323,C02131,2025-07-17 04:53:40,1.31,9,Mobile,Organic
S000324,C07258,2025-06-18 06:53:27,1.24,5,Mobile,Social Media
S000325,C05669,2025-10-20 08:58:35,18.53,8,Mobile,Organic
S000326,C03071,2025-02-04 09:23:10,7.44,3,Mobile,Paid Ads
S000327,C03332,2025-04-22 09:26:57,0.53,7,Tablet,Organic
S000328,C05326,2025-04-19 20:18:20,7.0,3,Mobile,Paid Ads
S000329,C07437,2025-05-14 00:43:12,18.47,5,Mobile,Referral
S000330,C07761,2025-01-22 11:46:56,9.46,9,Desktop,Organic
S000331,C08357,2025-02-14 21:54:32,12.17,8,Mobile,Organic
S000332,C05585,2025-10-10 00:12:27,3.9,4,Tablet,Referral
S000333,C00678,2025-03-11 08:52:04,22.55,6,Mobile,Paid Ads
S000334,C02870,2025-03-23 20:59:27,8.44,8,Mobile,Social Media
S000335,C00213,2025-05-22 12:16:01,12.95,6,Desktop,Organic
S000336,C08256,2025-10-06 12:27:14,10.56,10,Desktop,Email
S000337,C03114,2025-04-05 23:24:49,1.71,6,Desktop,Email
S000338,C06248,2025-02-22 16:03:23,13.53,8,Mobile,Email
S000339,C03483,2025-01-19 16:25:09,4.9,7,Mobile,Organic
S000340,C03989,2025-02-25 01:04:10,7.74,7,Mobile,Referral
S000341,C00927,2025-10-14 07:01:33,1.63,5,Tablet,Organic
S000342,C04248,2025-02-21 16:54:53,4.74,7,Mobile,Email
S000343,C00389,2025-01-07 06:59:04,3.06,13,Tablet,Email
S000344,C08954,2025-11-12 18:15:01,16.32,6,Desktop,Referral
S000345,C08981,2025-11-29 02:27:27,8.25,6,Mobile,Email
S000346,C07600,2025-02-28 23:06:21,9.11,10,Desktop,Referral
S000347,C00191,2025-10-25 11:53:57,16.83,5,Mobile,Paid Ads
S000348,C04394,2025-11-09 07:31:12,10.56,6,Mobile,Email
S000349,C01862,2025-06-10 06:29:18,5.18,4,Mobile,Organic
S000350,C08511,2025-12-13 00:41:12,1.98,7,Mobile,Paid Ads
S000351,C05763,2025-11-23 12:37:50,19.92,7,Mobile,Referral
S000352,C06309,2025-05-11 23:33:16,3.7,7,Tablet,Paid Ads
S000353,C09846,2025-04-10 04:53:12,6.44,6,Mobile,Referral
S000354,C06714,2025-09-21 19:50:03,7.23,8,Mobile,Email
S000355,C02616,2025-08-18 18:08:11,1.26,11,Desktop,Referral
S000356,C00307,2025-02-03 10:57:42,7.21,5,Mobile,Organic
S000357,C06262,2025-04-12 02:09:15,9.36,7,Mobile,Organic
S000358,C04807,2025-12-09 10:46:10,6.75,6,Mobile,Paid Ads
S000359,C06535,2025-08-21 00:43:21,6.45,5,Mobile,Referral
S000360,C07111,2025-07-29 14:32:54,13.16,6,Mobile,Organic
S000361,C01153,2025-11-10 12:36:33,4.51,10,Desktop,Referral
S000362,C06485,2025-12-19 23:37:08,5.19,10,Mobile,Referral
S000363,C00468,2025-06-29 15:24:42,6.52,8,Desktop,Paid Ads
S000364,C09423,2025-11-12 08:25:08,6.3,5,Mobile,Organic
S000365,C05203,2025-09-06 09:11:51,8.72,11,Desktop,Organic
S000366,C04168,2025-05-16 19:51:41,3.84,8,Desktop,Referral
S000367,C05345,2025-11-18 00:19:49,3.02,9,Mobile,Organic
S000368,C03695,2025-09-21 04:12:42,4.54,11,Mobile,Organic
S000369,C08766,2025-05-31 09:36:45,3.4,6,Tablet,Organic
S000370,C06141,2025-02-07 23:39:56,9.28,10,Desktop,Organic
S000371,C04690,2025-10-15 18:18:20,10.93,4,Mobile,Organic
S000372,C08891,2025-10-05 15:06:27,2.12,2,Mobile,Organic
S000373,C02123,2025-10-01 05:01:15,5.26,4,Desktop,Paid Ads
S000374,C00509,2025-04-27 05:03:18,10.52,9,Mobile,Email
S000375,C02548,2025-04-29 15:23:44,3.81,8,Desktop,Email
S000376,C02090,2025-06-25 21:42:32,10.65,7,Desktop,Social Media
S000377,C03806,2025-02-08 21:54:10,4.37,7,Mobile,Paid Ads
S000378,C07384,2025-01-22 06:12:56,2.6,7,Mobile,Organic
